OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NOAA 1,1970-106A,2024-11-29T01:31:21.328320,12.54036734,.003148,101.4236,20.4090,15.0361,9.9812,0,U,4793,999,47033,.23431E-3,-.5E-7,0
NOAA 2 (ITOS-D),1972-082A,2024-11-28T22:41:12.179904,12.53191355,.0004066,102.0227,334.8578,165.5222,313.2764,0,U,6235,999,38414,.28213E-3,-.2E-7,0
NOAA 3,1973-086A,2024-11-28T21:53:02.086080,12.40375236,.000656,102.2862,331.3878,82.7883,38.6181,0,U,6920,999,31181,.23397E-3,-.15E-6,0
NOAA 4,1974-089A,2024-11-28T21:41:36.674016,12.53188342,.0008863,101.9988,329.7478,193.4863,202.5346,0,U,7529,999,28871,.23376E-3,-.9E-7,0
NOAA 5,1976-077A,2024-11-28T21:40:02.588736,12.37809678,.0009732,102.2327,307.1736,295.8993,90.2989,0,U,9057,999,18453,.17371E-3,-.23E-6,0
TIROS N,1978-096A,2024-11-28T22:25:06.348864,14.19028254,.0011547,98.5134,8.0381,81.0350,279.2133,0,U,11060,999,59857,.30315E-3,.592E-5,0
NOAA 6,1979-057A,2024-11-28T21:52:41.454624,14.34877361,.0010849,98.6179,354.8918,129.5137,230.7009,0,U,11416,999,36987,.34351E-3,.932E-5,0
NOAA 7,1981-059A,2024-11-28T18:58:23.846592,14.17629331,.0012484,98.8734,33.1009,85.6574,274.6027,0,U,12553,999,24463,.17117E-3,.304E-5,0
NOAA 8,1983-022A,2024-11-28T07:08:42.163008,14.29463618,.0015852,98.7360,333.6339,111.9292,248.3576,0,U,13923,999,17021,.27422E-3,.656E-5,0
NOAA 9,1984-123A,2024-11-28T18:07:08.677056,14.16782416,.0015171,99.1242,335.3071,147.6829,25.6166,0,U,15427,999,6334,.30732E-3,.569E-5,0
NOAA 10,1986-073A,2024-11-28T22:00:20.577312,14.28838416,.0011471,98.6579,318.4644,205.6711,184.2338,0,U,16969,999,98893,.25509E-3,.599E-5,0
NOAA 11,1988-089A,2024-11-29T02:48:53.716896,14.15655065,.0012049,98.5440,289.6058,117.8245,242.4152,0,U,19531,999,86777,.1785E-3,.308E-5,0
NOAA 12,1991-032A,2024-11-28T21:52:00.381792,14.26480808,.0012658,98.5721,321.4471,237.9386,122.0566,0,U,21263,999,74462,.21325E-3,.471E-5,0
NOAA 13,1993-050A,2024-11-28T21:19:02.640864,14.13393211,.0008675,98.6306,285.3227,308.0182,52.0207,0,U,22739,999,61351,.29203E-3,.506E-5,0
NOAA 14,1994-089A,2024-11-28T21:54:30.952800,14.14501294,.000831,98.4456,320.9013,269.0083,91.0139,0,U,23455,999,54328,.17837E-3,.301E-5,0
NOAA 15,1998-030A,2024-11-29T02:47:41.559072,14.26809828,.0009928,98.5546,357.7114,196.8425,163.2427,0,U,25338,999,38095,.25025E-3,.564E-5,0
NOAA 16,2000-055A,2024-11-28T20:34:09.917472,14.13707534,.0011392,98.5125,5.7839,121.1173,239.1120,0,U,26536,999,54384,.20719E-3,.35E-5,0
NOAA 17,2002-032A,2024-11-29T04:54:22.387392,14.25827748,.0011388,98.7860,284.8909,184.5796,175.5281,0,U,27453,999,16647,.30235E-3,.675E-5,0
NOAA 18,2005-018A,2024-11-29T02:08:00.983328,14.13435562,.0013424,98.8625,49.5964,318.3947,41.6203,0,U,28654,999,655,.33045E-3,.577E-5,0
NOAA 19,2009-005A,2024-11-29T03:14:47.854176,14.13213673,.001381,99.0266,31.5207,183.4544,176.6535,0,U,33591,999,81492,.31885E-3,.552E-5,0
SUOMI NPP,2011-061A,2024-11-29T02:48:51.005664,14.19507034,.0002031,98.7385,269.7140,110.9291,249.2102,0,U,37849,999,67826,.18684E-3,.35E-5,0
NOAA 20 (JPSS-1),2017-073A,2024-11-29T03:12:48.222144,14.19576711,.0002358,98.7227,269.3822,89.8140,270.3306,0,U,43013,999,36430,.18419E-3,.345E-5,0
NOAA 21 (JPSS-2),2022-150A,2024-11-28T21:21:17.129376,14.19557515,.0002065,98.7079,269.7498,50.1648,309.9710,0,U,54234,999,10634,.20755E-3,.394E-5,0
